time,open,high,low,close,volume,amount,xtim
2016-11-14 09:15:00,27.02,27.02,27.02,27.02,19.0,51338.0,2016-11-14 09:15:00
2016-11-14 09:30:00,27.08,27.12,26.97,27.08,2133.0,5769931.0,2016-11-14 09:30:00
2016-11-14 09:45:00,27.1,27.29,27.08,27.21,4007.0,10898924.0,2016-11-14 09:45:00
2016-11-14 10:00:00,27.21,27.22,27.15,27.2,2429.0,6609891.0,2016-11-14 10:00:00
2016-11-14 10:15:00,27.2,27.21,27.1,27.1,3280.0,8917638.0,2016-11-14 10:15:00
2016-11-14 10:30:00,27.09,27.15,27.06,27.12,2976.0,8069023.0,2016-11-14 10:30:00
2016-11-14 10:45:00,27.1,27.23,27.07,27.18,2963.0,8062069.0,2016-11-14 10:45:00
2016-11-14 11:00:00,27.18,27.18,27.07,27.11,1908.0,5176224.0,2016-11-14 11:00:00
2016-11-14 11:15:00,27.11,27.13,27.08,27.08,1548.0,4197823.0,2016-11-14 11:15:00
2016-11-14 11:30:00,27.08,27.08,27.08,27.08,0.0,0.0,2016-11-14 11:30:00
2016-11-14 13:00:00,27.09,27.15,27.09,27.15,1508.0,4096365.0,2016-11-14 13:00:00
2016-11-14 13:15:00,27.14,27.15,27.05,27.07,1789.0,4847344.0,2016-11-14 13:15:00
2016-11-14 13:30:00,27.07,27.07,26.85,26.99,4720.0,12732109.0,2016-11-14 13:30:00
2016-11-14 13:45:00,26.98,26.98,26.88,26.88,1780.0,4792955.0,2016-11-14 13:45:00
2016-11-14 14:00:00,26.89,26.95,26.71,26.74,6947.0,18637120.0,2016-11-14 14:00:00
2016-11-14 14:15:00,26.7,26.85,26.59,26.77,5807.0,15504454.0,2016-11-14 14:15:00
2016-11-14 14:30:00,26.77,26.94,26.77,26.84,3176.0,8530516.0,2016-11-14 14:30:00
2016-11-14 14:45:00,26.83,26.85,26.78,26.81,1797.0,4830223.0,2016-11-14 14:45:00
2016-11-14 15:00:00,26.8,26.8,26.8,26.8,283.0,758440.0,2016-11-14 15:00:00
2016-11-15 09:15:00,26.8,26.8,26.8,26.8,22.0,58960.0,2016-11-15 09:15:00
2016-11-15 09:30:00,26.8,26.92,26.66,26.92,2215.0,5931996.0,2016-11-15 09:30:00
2016-11-15 09:45:00,26.9,26.94,26.75,26.76,2291.0,6158814.0,2016-11-15 09:45:00
2016-11-15 10:00:00,26.76,26.92,26.76,26.8,3024.0,8121507.0,2016-11-15 10:00:00
2016-11-15 10:15:00,26.8,26.85,26.79,26.81,883.0,2370809.0,2016-11-15 10:15:00
2016-11-15 10:30:00,26.81,26.85,26.79,26.81,1060.0,2844089.0,2016-11-15 10:30:00
2016-11-15 10:45:00,26.81,26.87,26.8,26.85,564.0,1513250.0,2016-11-15 10:45:00
2016-11-15 11:00:00,26.86,26.94,26.85,26.92,1483.0,3989623.0,2016-11-15 11:00:00
2016-11-15 11:15:00,26.9,26.94,26.8,26.85,1268.0,3407203.0,2016-11-15 11:15:00
2016-11-15 11:30:00,26.85,26.85,26.85,26.85,30.0,80550.0,2016-11-15 11:30:00
2016-11-15 13:00:00,26.85,26.86,26.82,26.84,717.0,1924951.0,2016-11-15 13:00:00
2016-11-15 13:15:00,26.84,26.93,26.83,26.91,2534.0,6822014.0,2016-11-15 13:15:00
2016-11-15 13:30:00,26.91,26.93,26.86,26.9,4404.0,11858337.0,2016-11-15 13:30:00
2016-11-15 13:45:00,26.92,26.92,26.87,26.9,1511.0,4074693.0,2016-11-15 13:45:00
2016-11-15 14:00:00,26.9,27.02,26.88,27.02,2892.0,7807171.0,2016-11-15 14:00:00
2016-11-15 14:15:00,27.02,27.1,26.99,27.06,2919.0,7912728.0,2016-11-15 14:15:00
2016-11-15 14:30:00,27.04,27.11,26.98,26.98,6967.0,18822952.0,2016-11-15 14:30:00
2016-11-15 14:45:00,26.98,27.1,26.98,27.1,2488.0,6734306.0,2016-11-15 14:45:00
2016-11-15 15:00:00,27.1,27.1,27.1,27.1,698.0,1891580.0,2016-11-15 15:00:00
2016-11-16 09:15:00,27.11,27.11,27.11,27.11,21.0,56931.0,2016-11-16 09:15:00
2016-11-16 09:30:00,27.11,27.18,27.0,27.03,1497.0,4050310.0,2016-11-16 09:30:00
2016-11-16 09:45:00,27.04,27.23,27.01,27.17,2480.0,6726418.0,2016-11-16 09:45:00
2016-11-16 10:00:00,27.19,27.19,27.09,27.12,1295.0,3513477.0,2016-11-16 10:00:00
2016-11-16 10:15:00,27.13,27.23,27.08,27.16,2313.0,6282049.0,2016-11-16 10:15:00
2016-11-16 10:30:00,27.19,27.26,27.15,27.24,3347.0,9104850.0,2016-11-16 10:30:00
2016-11-16 10:45:00,27.24,27.25,27.17,27.23,1513.0,4128414.0,2016-11-16 10:45:00
2016-11-16 11:00:00,27.24,27.28,27.19,27.2,2875.0,7834557.0,2016-11-16 11:00:00
2016-11-16 11:15:00,27.19,27.2,27.18,27.2,1376.0,3742404.0,2016-11-16 11:15:00
2016-11-16 11:30:00,27.2,27.2,27.2,27.2,0.0,0.0,2016-11-16 11:30:00
2016-11-16 13:00:00,27.2,27.25,27.15,27.15,1626.0,4422988.0,2016-11-16 13:00:00
2016-11-16 13:15:00,27.16,27.19,27.14,27.18,1582.0,4297621.0,2016-11-16 13:15:00
2016-11-16 13:30:00,27.15,27.22,27.13,27.19,3138.0,8536001.0,2016-11-16 13:30:00
2016-11-16 13:45:00,27.22,27.22,27.1,27.13,1165.0,3161890.0,2016-11-16 13:45:00
2016-11-16 14:00:00,27.13,27.13,27.06,27.12,1595.0,4328034.0,2016-11-16 14:00:00
2016-11-16 14:15:00,27.11,27.18,27.08,27.09,1457.0,3951176.0,2016-11-16 14:15:00
2016-11-16 14:30:00,27.09,27.16,27.09,27.11,1996.0,5427175.0,2016-11-16 14:30:00
2016-11-16 14:45:00,27.12,27.12,27.0,27.0,3912.0,10641294.0,2016-11-16 14:45:00
2016-11-16 15:00:00,27.0,27.0,27.0,27.0,693.0,1871100.0,2016-11-16 15:00:00
2016-11-17 09:15:00,27.01,27.01,27.01,27.01,158.0,426758.0,2016-11-17 09:15:00
2016-11-17 09:30:00,27.01,27.01,26.74,26.78,4278.0,11498815.0,2016-11-17 09:30:00
2016-11-17 09:45:00,26.77,26.8,26.72,26.74,6222.0,16670566.0,2016-11-17 09:45:00
2016-11-17 10:00:00,26.73,26.81,26.65,26.8,4277.0,11433765.0,2016-11-17 10:00:00
2016-11-17 10:15:00,26.8,26.81,26.7,26.75,2545.0,6836360.0,2016-11-17 10:15:00
2016-11-17 10:30:00,26.75,26.78,26.69,26.72,4047.0,10828734.0,2016-11-17 10:30:00
2016-11-17 10:45:00,26.72,26.81,26.72,26.77,1848.0,4968691.0,2016-11-17 10:45:00
2016-11-17 11:00:00,26.8,26.81,26.69,26.7,2874.0,7693003.0,2016-11-17 11:00:00
2016-11-17 11:15:00,26.71,26.74,26.68,26.71,1479.0,3956229.0,2016-11-17 11:15:00
2016-11-17 11:30:00,26.71,26.71,26.71,26.71,2.0,5342.0,2016-11-17 11:30:00
2016-11-17 13:00:00,26.71,26.74,26.71,26.74,304.0,812661.0,2016-11-17 13:00:00
2016-11-17 13:15:00,26.73,26.74,26.7,26.74,1394.0,3725392.0,2016-11-17 13:15:00
2016-11-17 13:30:00,26.73,26.82,26.73,26.8,2117.0,5670350.0,2016-11-17 13:30:00
2016-11-17 13:45:00,26.79,26.81,26.71,26.78,1384.0,3704983.0,2016-11-17 13:45:00
2016-11-17 14:00:00,26.78,26.88,26.78,26.88,1171.0,3142422.0,2016-11-17 14:00:00
2016-11-17 14:15:00,26.88,26.94,26.8,26.82,1343.0,3610730.0,2016-11-17 14:15:00
2016-11-17 14:30:00,26.82,26.91,26.82,26.88,1480.0,3979522.0,2016-11-17 14:30:00
2016-11-17 14:45:00,26.86,26.88,26.78,26.83,1797.0,4822072.0,2016-11-17 14:45:00
2016-11-17 15:00:00,26.84,26.84,26.84,26.84,162.0,436955.0,2016-11-17 15:00:00
2016-11-18 09:15:00,26.84,26.84,26.84,26.84,14.0,37576.0,2016-11-18 09:15:00
2016-11-18 09:30:00,26.84,26.84,26.68,26.7,1517.0,4068417.0,2016-11-18 09:30:00
2016-11-18 09:45:00,26.7,26.73,26.69,26.71,1756.0,4710297.0,2016-11-18 09:45:00
2016-11-18 10:00:00,26.71,26.82,26.7,26.73,2128.0,5711864.0,2016-11-18 10:00:00
