amount,change,price,time,type,volume,xtim
55482.0,--,26.42,2016-11-18 14:51:12,buy,21.0,2016-11-18 14:51:12
58124.0,--,26.42,2016-11-18 14:51:06,buy,22.0,2016-11-18 14:51:06
79260.0,0.01,26.42,2016-11-18 14:51:03,buy,30.0,2016-11-18 14:51:03
456232.0,--,26.41,2016-11-18 14:50:57,buy,172.0,2016-11-18 14:50:57
179588.0,--,26.41,2016-11-18 14:50:54,buy,68.0,2016-11-18 14:50:54
26410.0,--,26.41,2016-11-18 14:50:51,buy,10.0,2016-11-18 14:50:51
42256.0,0.01,26.41,2016-11-18 14:50:48,buy,16.0,2016-11-18 14:50:48
126720.0,--,26.4,2016-11-18 14:50:45,sell,48.0,2016-11-18 14:50:45
139920.0,--,26.4,2016-11-18 14:50:39,sell,53.0,2016-11-18 14:50:39
26400.0,-0.01,26.4,2016-11-18 14:50:36,norm,10.0,2016-11-18 14:50:36
264100.0,0.02,26.41,2016-11-18 14:50:33,buy,100.0,2016-11-18 14:50:33
39585.0,-0.01,26.39,2016-11-18 14:50:30,sell,15.0,2016-11-18 14:50:30
76560.0,0.01,26.4,2016-11-18 14:50:27,buy,29.0,2016-11-18 14:50:27
89726.0,-0.01,26.39,2016-11-18 14:50:24,sell,34.0,2016-11-18 14:50:24
13200.0,0.01,26.4,2016-11-18 14:50:21,buy,5.0,2016-11-18 14:50:21
108199.0,--,26.39,2016-11-18 14:50:18,sell,41.0,2016-11-18 14:50:18
6254.0,--,26.39,2016-11-18 14:50:15,sell,2.0,2016-11-18 14:50:15
657111.0,-0.02,26.39,2016-11-18 14:50:12,sell,249.0,2016-11-18 14:50:12
475380.0,-0.01,26.41,2016-11-18 14:50:09,sell,180.0,2016-11-18 14:50:09
63408.0,--,26.42,2016-11-18 14:50:06,buy,24.0,2016-11-18 14:50:06
15852.0,--,26.42,2016-11-18 14:50:03,buy,6.0,2016-11-18 14:50:03
13210.0,--,26.42,2016-11-18 14:50:00,buy,5.0,2016-11-18 14:50:00
560341.0,-0.01,26.42,2016-11-18 14:49:57,sell,212.0,2016-11-18 14:49:57
13215.0,--,26.43,2016-11-18 14:49:54,sell,5.0,2016-11-18 14:49:54
356567.0,-0.01,26.43,2016-11-18 14:49:51,sell,134.0,2016-11-18 14:49:51
362228.0,--,26.44,2016-11-18 14:49:48,buy,137.0,2016-11-18 14:49:48
13220.0,--,26.44,2016-11-18 14:49:45,buy,5.0,2016-11-18 14:49:45
219452.0,0.01,26.44,2016-11-18 14:49:39,buy,83.0,2016-11-18 14:49:39
