time,open,high,low,close,volume,amount,xtim
2016-11-14 09:25:00,27.02,27.02,27.02,27.02,19.0,51338.0,2016-11-14 09:25:00
2016-11-14 09:30:00,27.08,27.12,26.97,27.1,795.0,2149961.0,2016-11-14 09:30:00
2016-11-14 09:35:00,27.11,27.11,27.0,27.02,535.0,1447464.0,2016-11-14 09:35:00
2016-11-14 09:40:00,27.08,27.1,27.03,27.08,803.0,2172506.0,2016-11-14 09:40:00
2016-11-14 09:45:00,27.1,27.29,27.08,27.2,934.0,2542618.0,2016-11-14 09:45:00
2016-11-14 09:50:00,27.2,27.22,27.13,27.14,1560.0,4246909.0,2016-11-14 09:50:00
2016-11-14 09:55:00,27.14,27.21,27.12,27.21,1513.0,4109397.0,2016-11-14 09:55:00
2016-11-14 10:00:00,27.21,27.22,27.15,27.17,752.0,2050457.0,2016-11-14 10:00:00
2016-11-14 10:05:00,27.18,27.22,27.17,27.21,762.0,2072135.0,2016-11-14 10:05:00
2016-11-14 10:10:00,27.2,27.2,27.15,27.2,915.0,2487299.0,2016-11-14 10:10:00
2016-11-14 10:15:00,27.2,27.21,27.14,27.17,978.0,2657062.0,2016-11-14 10:15:00
2016-11-14 10:20:00,27.17,27.2,27.15,27.2,1242.0,3375673.0,2016-11-14 10:20:00
2016-11-14 10:25:00,27.16,27.21,27.1,27.1,1060.0,2884903.0,2016-11-14 10:25:00
2016-11-14 10:30:00,27.09,27.14,27.07,27.08,1117.0,3027627.0,2016-11-14 10:30:00
2016-11-14 10:35:00,27.1,27.13,27.06,27.1,465.0,1259618.0,2016-11-14 10:35:00
2016-11-14 10:40:00,27.08,27.15,27.06,27.12,1394.0,3781778.0,2016-11-14 10:40:00
2016-11-14 10:45:00,27.1,27.2,27.07,27.14,1230.0,3347264.0,2016-11-14 10:45:00
2016-11-14 10:50:00,27.2,27.23,27.13,27.21,1079.0,2934309.0,2016-11-14 10:50:00
2016-11-14 10:55:00,27.18,27.22,27.13,27.18,654.0,1780496.0,2016-11-14 10:55:00
2016-11-14 11:00:00,27.18,27.18,27.11,27.14,1128.0,3062705.0,2016-11-14 11:00:00
2016-11-14 11:05:00,27.13,27.13,27.09,27.12,378.0,1024581.0,2016-11-14 11:05:00
2016-11-14 11:10:00,27.1,27.11,27.07,27.11,402.0,1088938.0,2016-11-14 11:10:00
2016-11-14 11:15:00,27.11,27.13,27.08,27.08,839.0,2276810.0,2016-11-14 11:15:00
2016-11-14 11:20:00,27.13,27.13,27.08,27.1,317.0,859345.0,2016-11-14 11:20:00
2016-11-14 11:25:00,27.09,27.09,27.08,27.08,392.0,1061668.0,2016-11-14 11:25:00
2016-11-14 11:30:00,27.08,27.08,27.08,27.08,0.0,0.0,2016-11-14 11:30:00
2016-11-14 13:00:00,27.09,27.15,27.09,27.1,314.0,852942.0,2016-11-14 13:00:00
2016-11-14 13:05:00,27.1,27.15,27.1,27.14,978.0,2657075.0,2016-11-14 13:05:00
2016-11-14 13:10:00,27.14,27.15,27.14,27.15,216.0,586348.0,2016-11-14 13:10:00
2016-11-14 13:15:00,27.14,27.15,27.12,27.12,521.0,1413031.0,2016-11-14 13:15:00
2016-11-14 13:20:00,27.12,27.13,27.07,27.07,610.0,1652199.0,2016-11-14 13:20:00
2016-11-14 13:25:00,27.1,27.13,27.05,27.07,658.0,1782114.0,2016-11-14 13:25:00
2016-11-14 13:30:00,27.07,27.07,26.93,26.98,1835.0,4959789.0,2016-11-14 13:30:00
2016-11-14 13:35:00,26.96,27.02,26.93,26.98,1244.0,3354285.0,2016-11-14 13:35:00
2016-11-14 13:40:00,26.95,26.99,26.85,26.99,1641.0,4418035.0,2016-11-14 13:40:00
2016-11-14 13:45:00,26.98,26.98,26.92,26.94,654.0,1762248.0,2016-11-14 13:45:00
2016-11-14 13:50:00,26.94,26.98,26.91,26.93,656.0,1766276.0,2016-11-14 13:50:00
2016-11-14 13:55:00,26.93,26.93,26.88,26.88,470.0,1264431.0,2016-11-14 13:55:00
2016-11-14 14:00:00,26.89,26.95,26.82,26.95,1643.0,4416299.0,2016-11-14 14:00:00
2016-11-14 14:05:00,26.95,26.95,26.79,26.8,2473.0,6634713.0,2016-11-14 14:05:00
2016-11-14 14:10:00,26.85,26.85,26.71,26.74,2831.0,7586108.0,2016-11-14 14:10:00
2016-11-14 14:15:00,26.7,26.7,26.59,26.7,4132.0,11014545.0,2016-11-14 14:15:00
2016-11-14 14:20:00,26.7,26.85,26.7,26.8,997.0,2673624.0,2016-11-14 14:20:00
2016-11-14 14:25:00,26.79,26.84,26.75,26.77,678.0,1816285.0,2016-11-14 14:25:00
2016-11-14 14:30:00,26.77,26.94,26.77,26.9,1335.0,3585222.0,2016-11-14 14:30:00
2016-11-14 14:35:00,26.89,26.89,26.83,26.83,1571.0,4220133.0,2016-11-14 14:35:00
2016-11-14 14:40:00,26.83,26.85,26.83,26.84,270.0,725161.0,2016-11-14 14:40:00
2016-11-14 14:45:00,26.83,26.84,26.81,26.81,607.0,1635374.0,2016-11-14 14:45:00
2016-11-14 14:50:00,26.81,26.84,26.78,26.82,627.0,1684558.0,2016-11-14 14:50:00
2016-11-14 14:55:00,26.84,26.85,26.81,26.81,563.0,1510291.0,2016-11-14 14:55:00
2016-11-14 15:00:00,26.8,26.8,26.8,26.8,283.0,758440.0,2016-11-14 15:00:00
2016-11-15 09:25:00,26.8,26.8,26.8,26.8,22.0,58960.0,2016-11-15 09:25:00
2016-11-15 09:30:00,26.8,26.8,26.66,26.72,872.0,2327522.0,2016-11-15 09:30:00
2016-11-15 09:35:00,26.78,26.87,26.72,26.77,853.0,2287996.0,2016-11-15 09:35:00
2016-11-15 09:40:00,26.8,26.92,26.8,26.92,490.0,1316478.0,2016-11-15 09:40:00
2016-11-15 09:45:00,26.9,26.94,26.8,26.8,1297.0,3492422.0,2016-11-15 09:45:00
2016-11-15 09:50:00,26.87,26.88,26.76,26.8,392.0,1053012.0,2016-11-15 09:50:00
2016-11-15 09:55:00,26.8,26.8,26.75,26.76,602.0,1613380.0,2016-11-15 09:55:00
2016-11-15 10:00:00,26.76,26.89,26.76,26.89,505.0,1355448.0,2016-11-15 10:00:00
2016-11-15 10:05:00,26.89,26.92,26.85,26.9,1178.0,3168353.0,2016-11-15 10:05:00
2016-11-15 10:10:00,26.91,26.92,26.78,26.8,1341.0,3597706.0,2016-11-15 10:10:00
2016-11-15 10:15:00,26.8,26.85,26.79,26.8,328.0,882424.0,2016-11-15 10:15:00
2016-11-15 10:20:00,26.82,26.85,26.8,26.8,289.0,774934.0,2016-11-15 10:20:00
2016-11-15 10:25:00,26.8,26.85,26.8,26.81,266.0,713451.0,2016-11-15 10:25:00
2016-11-15 10:30:00,26.81,26.85,26.79,26.81,349.0,937008.0,2016-11-15 10:30:00
2016-11-15 10:35:00,26.84,26.85,26.81,26.82,354.0,949945.0,2016-11-15 10:35:00
2016-11-15 10:40:00,26.85,26.85,26.8,26.81,357.0,957136.0,2016-11-15 10:40:00
2016-11-15 10:45:00,26.81,26.82,26.8,26.82,229.0,613858.0,2016-11-15 10:45:00
2016-11-15 10:50:00,26.82,26.85,26.81,26.84,150.0,402531.0,2016-11-15 10:50:00
2016-11-15 10:55:00,26.86,26.87,26.84,26.85,185.0,496861.0,2016-11-15 10:55:00
2016-11-15 11:00:00,26.86,26.9,26.85,26.87,197.0,529441.0,2016-11-15 11:00:00
2016-11-15 11:05:00,26.89,26.92,26.86,26.92,698.0,1876834.0,2016-11-15 11:05:00
2016-11-15 11:10:00,26.9,26.94,26.9,26.92,588.0,1583348.0,2016-11-15 11:10:00
2016-11-15 11:15:00,26.9,26.94,26.8,26.91,946.0,2541833.0,2016-11-15 11:15:00
2016-11-15 11:20:00,26.84,26.92,26.84,26.91,140.0,376583.0,2016-11-15 11:20:00
2016-11-15 11:25:00,26.86,26.88,26.85,26.85,182.0,488787.0,2016-11-15 11:25:00
2016-11-15 11:30:00,26.85,26.85,26.85,26.85,30.0,80550.0,2016-11-15 11:30:00
2016-11-15 13:00:00,26.85,26.85,26.82,26.83,156.0,418772.0,2016-11-15 13:00:00
2016-11-15 13:05:00,26.83,26.86,26.83,26.85,372.0,998722.0,2016-11-15 13:05:00
2016-11-15 13:10:00,26.86,26.86,26.83,26.84,189.0,507457.0,2016-11-15 13:10:00
2016-11-15 13:15:00,26.84,26.86,26.83,26.86,494.0,1330026.0,2016-11-15 13:15:00
2016-11-15 13:20:00,26.86,26.93,26.86,26.92,870.0,2341611.0,2016-11-15 13:20:00
2016-11-15 13:25:00,26.92,26.92,26.85,26.91,1170.0,3150377.0,2016-11-15 13:25:00
2016-11-15 13:30:00,26.91,26.91,26.86,26.91,865.0,2328915.0,2016-11-15 13:30:00
2016-11-15 13:35:00,26.91,26.93,26.87,26.92,2083.0,5606972.0,2016-11-15 13:35:00
2016-11-15 13:40:00,26.92,26.92,26.87,26.9,1456.0,3922450.0,2016-11-15 13:40:00
2016-11-15 13:45:00,26.92,26.92,26.87,26.9,415.0,1119279.0,2016-11-15 13:45:00
2016-11-15 13:50:00,26.9,26.9,26.87,26.87,406.0,1093478.0,2016-11-15 13:50:00
2016-11-15 13:55:00,26.88,26.92,26.87,26.9,690.0,1861936.0,2016-11-15 13:55:00
2016-11-15 14:00:00,26.9,26.92,26.88,26.92,449.0,1210636.0,2016-11-15 14:00:00
2016-11-15 14:05:00,26.92,26.96,26.89,26.96,971.0,2615828.0,2016-11-15 14:05:00
2016-11-15 14:10:00,26.96,27.02,26.95,27.02,1472.0,3980707.0,2016-11-15 14:10:00
2016-11-15 14:15:00,27.02,27.1,26.99,27.03,1563.0,4236536.0,2016-11-15 14:15:00
2016-11-15 14:20:00,27.06,27.1,27.02,27.06,778.0,2105171.0,2016-11-15 14:20:00
2016-11-15 14:25:00,27.06,27.08,27.03,27.06,578.0,1571021.0,2016-11-15 14:25:00
